"","HNO204_37_d23_DIFF_B1","HNO204_MX_d23_DIFF_B1","HNO918_37_d23_DIFF_B1","HNO918_MX_d23_DIFF_B1","HNO919_37_d23_DIFF_B1","HNO919_MX_d23_DIFF_B1","HNO204_37_d23_DIFF_B2","HNO204_MX_d23_DIFF_B2","HNO918_37_d23_DIFF_B2","HNO918_MX_d23_DIFF_B2","HNO919_37_d23_DIFF_B2","HNO919_MX_d23_DIFF_B2"
"ENSG00000000003",4306,5027,7371,6483,4516,4009,2604,5050,3228,3592,3808,1991
"ENSG00000000005",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000000419",814,933,1096,1193,771,760,568,1105,561,712,564,624
"ENSG00000000457",511,761,755,856,624,542,301,428,418,423,391,207
"ENSG00000000460",97,186,162,167,124,150,47,130,105,83,59,58
"ENSG00000000938",4,2,7,1,2,3,4,4,0,8,1,0
"ENSG00000000971",2954,3555,4079,3533,3714,3362,1085,1639,1746,1419,1552,814
"ENSG00000001036",694,964,850,958,616,778,524,1199,566,780,598,545
"ENSG00000001084",4921,6575,9319,10981,4962,6107,3111,6388,4667,5389,3863,2527
"ENSG00000001167",555,708,798,699,677,677,308,612,544,417,400,192
"ENSG00000001460",1031,1017,1315,1008,927,786,699,1023,794,820,837,439
"ENSG00000001461",1975,2335,2459,2084,2045,1895,1215,1823,1437,1289,1304,579
"ENSG00000001497",799,1039,1308,1232,822,1022,668,1473,664,924,782,998
"ENSG00000001561",1389,1678,2758,2809,1613,1455,623,1285,1000,1087,1083,396
"ENSG00000001617",4930,4762,8335,5762,5149,4414,5019,5072,7657,4393,7260,2952
"ENSG00000001626",478,406,1447,1014,764,525,178,225,670,443,594,156
"ENSG00000001629",1533,1833,2278,2089,1643,1670,780,1315,1052,975,932,346
"ENSG00000001630",145,87,207,98,118,88,44,112,128,98,70,35
"ENSG00000001631",230,253,315,288,231,223,153,249,159,156,169,123
"ENSG00000002016",138,178,212,175,248,180,157,157,146,80,108,67
"ENSG00000002330",967,771,1262,919,731,760,1245,1960,1141,1300,1520,1667
"ENSG00000002549",2079,2438,3628,3180,1855,2373,1278,2812,1839,2670,2044,1757
"ENSG00000002586",1452,1552,2985,2619,1086,1395,2354,4951,2528,3024,2704,3065
"ENSG00000002587",922,756,2585,1991,1079,851,784,1059,2269,1417,1809,686
"ENSG00000002726",0,0,5,0,0,4,0,2,2,0,3,1
"ENSG00000002745",8,4,30,47,33,35,4,5,19,5,17,9
"ENSG00000002746",0,4,2,0,3,2,0,1,3,1,0,1
"ENSG00000002822",423,437,676,547,403,450,498,1089,567,667,651,976
"ENSG00000002834",4464,3989,6733,4797,3705,3840,3987,5421,5028,4224,4668,1945
"ENSG00000002919",467,515,628,519,419,446,422,783,418,487,548,419
"ENSG00000002933",4,1,7,4,1,3,21,16,15,25,12,9
"ENSG00000003056",1393,1611,1973,1780,1378,1436,799,1383,1227,1070,1147,399
"ENSG00000003096",485,510,510,420,447,522,129,289,216,237,192,113
"ENSG00000003137",1,4,5,2,2,2,0,2,3,0,3,0
"ENSG00000003147",88,156,144,134,183,179,46,92,60,65,47,62
"ENSG00000003249",162,157,249,246,198,241,190,300,186,247,217,159
"ENSG00000003393",779,1042,1294,1022,947,835,414,715,561,519,525,296
"ENSG00000003400",440,491,393,299,398,414,125,200,188,175,186,107
"ENSG00000003402",4571,5697,5867,5211,4424,4423,2723,3201,3002,2476,3046,1268
"ENSG00000003436",10,14,78,94,58,81,36,100,54,54,29,31
"ENSG00000003509",197,307,291,291,210,303,159,305,142,208,200,139
"ENSG00000003756",1587,2833,3060,2880,2425,2218,1786,2445,1823,1180,1282,1459
"ENSG00000003987",51,77,56,57,34,53,20,45,17,37,19,31
"ENSG00000003989",3839,5432,4114,3956,2125,2114,1208,2325,1266,1656,1514,607
"ENSG00000004059",2097,2652,3444,3338,2110,2389,2545,5119,2673,3299,3402,3425
"ENSG00000004139",136,203,318,336,198,174,192,207,193,160,144,85
"ENSG00000004142",1905,2185,2673,2314,1747,2087,1913,3429,2279,2460,2557,2050
"ENSG00000004399",91,89,82,70,102,95,84,125,63,67,51,34
"ENSG00000004455",2250,3022,3111,2912,2268,2582,1755,3049,1870,1824,1908,1666
"ENSG00000004468",500,700,1247,1578,326,330,395,836,560,773,522,221
"ENSG00000004478",1919,1293,2854,1654,1567,1243,1861,1852,2013,1291,1954,1015
"ENSG00000004487",2543,3055,4102,3725,2260,2363,1860,3475,2188,2459,2454,1719
"ENSG00000004534",1212,1968,3131,2382,2377,1945,1394,1780,1801,977,1072,1354
"ENSG00000004660",113,156,298,305,138,207,152,314,224,283,182,297
"ENSG00000004700",421,728,617,676,454,550,144,390,257,322,220,107
"ENSG00000004766",535,660,732,740,613,508,245,449,341,307,336,158
"ENSG00000004776",2,0,1,2,0,0,0,0,0,0,0,2
"ENSG00000004777",144,308,405,342,221,249,241,353,277,202,89,195
"ENSG00000004779",1172,1250,1732,1628,1148,1156,1098,2315,1095,1496,1326,1543
"ENSG00000004799",470,426,580,638,415,387,187,219,176,194,203,79
"ENSG00000004809",2,0,220,232,24,23,2,7,141,132,228,101
"ENSG00000004838",8089,9007,12693,10173,6704,6870,7925,13398,7882,9987,9769,9939
"ENSG00000004846",2,0,11,9,1,2,2,3,5,1,1,0
"ENSG00000004848",93,44,64,55,17,21,44,78,26,48,41,17
"ENSG00000004864",573,708,826,870,535,550,320,660,401,442,467,232
"ENSG00000004866",241,394,457,517,313,373,261,387,241,269,277,196
"ENSG00000004897",1175,1367,1534,1653,1183,1283,536,1033,723,780,628,422
"ENSG00000004939",0,0,0,0,0,0,0,0,0,1,2,2
"ENSG00000004948",0,0,0,0,0,0,0,2,0,0,0,0
"ENSG00000004961",691,766,932,762,630,620,471,763,524,572,522,358
"ENSG00000004975",1081,1096,1619,1158,1129,1059,1113,1665,1397,1156,1206,812
"ENSG00000005001",1035,1239,1999,1376,2036,1897,1164,2080,1620,1258,1460,1501
"ENSG00000005007",6738,6104,11976,8309,6215,5642,4551,6278,7726,6696,7778,3594
"ENSG00000005020",219,171,10,1,141,135,91,152,9,9,21,6
"ENSG00000005022",6162,8847,8136,9643,5132,7022,6459,14058,5906,8017,7204,7869
"ENSG00000005059",187,268,406,420,217,217,214,408,286,301,275,255
"ENSG00000005073",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000005075",387,391,584,488,290,327,505,1072,445,702,602,830
"ENSG00000005100",532,773,710,779,544,642,280,511,477,451,358,218
"ENSG00000005102",26,30,95,92,63,83,38,61,189,87,102,65
"ENSG00000005108",0,0,4,2,1,0,0,3,2,0,0,0
"ENSG00000005156",847,955,981,819,738,640,500,684,518,402,510,191
"ENSG00000005175",850,1069,1352,1304,927,839,567,1093,548,770,629,481
"ENSG00000005187",104,123,151,120,107,101,108,184,77,101,93,63
"ENSG00000005189",219,511,406,513,241,435,165,538,191,409,184,351
"ENSG00000005194",787,913,960,977,877,795,681,1290,728,805,856,721
"ENSG00000005206",1490,2242,2962,2388,2056,2226,2234,3892,2567,1860,1781,2547
"ENSG00000005238",390,394,606,460,515,516,317,621,487,507,488,367
"ENSG00000005243",186,280,184,267,164,208,256,655,180,258,217,418
"ENSG00000005249",867,942,1368,1658,929,1136,415,1010,1109,1232,979,454
"ENSG00000005302",788,1457,1315,1365,955,1083,711,1377,808,908,692,652
"ENSG00000005339",2414,2651,3541,3165,2095,2282,1651,1995,2727,2040,2380,854
"ENSG00000005379",1255,1301,3125,1891,1491,1077,1621,1776,2253,1410,1393,806
"ENSG00000005381",0,0,0,2,0,0,0,6,0,0,0,0
"ENSG00000005421",0,0,1,0,4,2,0,0,0,0,0,0
"ENSG00000005436",404,568,627,727,381,470,216,510,253,351,274,183
"ENSG00000005448",2118,2375,3197,3128,1688,2045,1845,3810,1999,3195,2438,3214
"ENSG00000005469",1586,2065,2104,2239,2254,2026,859,1530,1109,1110,1237,820
"ENSG00000005471",3,12,2,19,4,7,0,5,4,18,3,1
"ENSG00000005483",2216,2670,2787,2908,2150,1906,1232,1322,1729,1075,1124,380
"ENSG00000005486",3745,6753,3966,6362,3101,5360,3978,11108,3558,6288,4088,5364
"ENSG00000005513",13,14,5,0,7,14,12,11,4,2,11,5
"ENSG00000005700",1443,2076,2353,2781,1545,1785,686,1429,1001,1207,938,511
"ENSG00000005801",350,432,466,380,469,361,201,388,199,239,217,149
"ENSG00000005810",1908,2715,2425,2584,1881,1846,853,1106,1418,1263,1212,498
"ENSG00000005812",1237,1520,1560,1764,1086,1086,823,1412,958,941,872,503
"ENSG00000005844",35,31,81,67,39,34,15,32,53,32,22,28
"ENSG00000005882",637,667,944,871,563,515,766,995,853,652,877,409
"ENSG00000005884",4759,5177,5743,4796,5038,6327,3372,4753,4460,3768,3766,2957
"ENSG00000005889",1047,1132,1428,1351,1167,976,502,764,830,677,651,324
"ENSG00000005893",3666,4894,4312,4974,3717,4096,1622,3378,2158,2415,2258,996
"ENSG00000005961",2,9,4,2,9,3,3,9,1,1,1,7
"ENSG00000005981",8,23,31,16,43,27,17,39,2,12,11,5
"ENSG00000006007",2400,3155,3916,4230,2480,2950,2094,3718,2711,2770,2679,1438
"ENSG00000006015",590,633,1019,772,605,733,783,1640,986,1202,1067,2114
"ENSG00000006016",263,175,723,361,215,246,401,636,621,451,874,750
"ENSG00000006025",385,536,722,464,724,626,363,512,392,357,347,347
"ENSG00000006042",960,1181,1514,1300,732,813,807,1444,1105,1039,1137,689
"ENSG00000006047",14,14,76,34,49,53,33,78,31,30,16,41
"ENSG00000006059",4,3,3,2,8,2,5,5,1,4,0,3
"ENSG00000006062",169,203,394,267,216,225,206,300,261,272,277,246
"ENSG00000006071",0,0,0,0,0,0,0,8,0,0,0,0
"ENSG00000006116",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000006118",4404,4001,4559,3352,4259,4366,3635,5459,4206,3562,4883,3510
"ENSG00000006125",4652,7241,6674,8078,4056,5051,2050,4829,2690,4603,2919,2325
"ENSG00000006128",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000006194",672,909,1034,909,580,737,653,1183,786,790,762,640
"ENSG00000006210",5375,4435,6842,4263,4767,4601,4302,5227,5436,4032,5234,2106
"ENSG00000006282",548,971,2227,2490,1246,1801,749,1803,1611,2262,1677,2079
"ENSG00000006283",1,2,0,3,0,0,0,0,4,1,0,0
"ENSG00000006327",673,574,244,119,525,654,368,896,300,316,466,447
"ENSG00000006377",7,3,0,0,1,0,0,1,0,0,2,1
"ENSG00000006432",756,922,808,752,913,890,464,537,584,400,533,187
"ENSG00000006451",1288,1495,1410,1366,1067,1124,927,1663,941,917,909,655
"ENSG00000006453",3636,3598,6236,4910,2970,2546,2864,3719,3075,3076,3225,2036
"ENSG00000006459",1167,1607,2078,2262,1387,1360,569,833,939,874,671,328
"ENSG00000006468",22,29,47,51,45,53,27,41,34,19,14,18
"ENSG00000006530",579,813,852,854,664,610,360,654,431,448,403,301
"ENSG00000006534",10026,9822,16380,12869,7134,7222,9254,16102,9475,10986,10771,5676
"ENSG00000006555",1290,1523,1481,1239,1281,1229,1172,1484,1189,1073,1369,606
"ENSG00000006576",415,670,875,1012,577,604,209,465,408,445,348,242
"ENSG00000006606",12,5,4,10,15,14,7,23,5,7,7,13
"ENSG00000006607",1100,1244,1610,1433,1156,1080,532,912,841,703,810,330
"ENSG00000006611",78,100,21,27,32,52,34,112,6,6,6,4
"ENSG00000006625",437,516,663,738,426,581,372,836,297,500,493,629
"ENSG00000006634",214,357,324,396,218,282,146,405,163,225,139,165
"ENSG00000006638",0,0,2,0,0,0,0,1,1,0,0,0
"ENSG00000006652",610,545,826,686,920,574,578,664,571,325,513,305
"ENSG00000006659",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000006695",403,451,586,484,349,511,310,507,378,414,401,215
"ENSG00000006704",1348,1416,1733,1593,1242,1135,1345,1872,1327,1172,1326,802
"ENSG00000006712",1531,1559,2364,1629,1289,1342,1576,2480,1585,1575,1840,1837
"ENSG00000006715",1413,1721,2120,1828,1546,1322,779,1355,968,902,1037,467
"ENSG00000006740",232,167,533,378,255,180,176,175,276,228,251,90
"ENSG00000006744",1509,1757,2176,2124,1421,1639,1139,2115,1534,1620,1541,1247
"ENSG00000006747",622,860,1629,1301,1102,989,600,1005,856,696,870,392
"ENSG00000006756",2078,2355,3254,2618,1704,1767,1260,2047,1838,1792,1760,937
"ENSG00000006757",709,872,1175,1120,635,708,690,1453,761,855,857,649
"ENSG00000006788",0,0,0,0,0,5,0,0,0,0,0,0
"ENSG00000006831",1511,1779,2375,2123,1585,1631,1238,1879,1559,1522,1424,911
"ENSG00000006837",41,17,25,19,47,34,14,35,14,17,23,11
"ENSG00000007001",8,17,13,2,2,4,8,3,7,7,7,6
"ENSG00000007038",0,2,63,37,10,1,0,0,36,38,31,41
"ENSG00000007047",811,755,968,785,579,643,730,974,888,813,845,501
"ENSG00000007062",8337,13172,16193,17675,10231,11206,2495,6409,6842,9814,6996,4068
"ENSG00000007080",837,808,1197,805,693,785,1185,2053,1106,1311,1340,1657
"ENSG00000007129",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000007168",3925,4923,5755,5868,4239,4442,2210,4079,3062,3039,2879,1598
"ENSG00000007171",10811,8831,15556,12559,2383,1437,18370,16046,14356,9157,10735,3036
"ENSG00000007174",6913,5406,11368,6522,5954,3674,2749,3634,4743,4173,5593,1890
"ENSG00000007202",3782,4307,5383,4728,3964,3862,2106,3474,3464,3145,3381,1383
"ENSG00000007216",336,115,763,329,341,159,592,365,469,236,394,104
"ENSG00000007237",1110,957,844,528,1186,1047,463,561,407,379,472,134
"ENSG00000007255",497,516,752,719,395,485,641,1502,634,958,789,1207
"ENSG00000007264",3,2,1,0,3,2,2,4,0,0,1,2
"ENSG00000007306",224,121,179,170,696,294,51,65,167,65,337,72
"ENSG00000007312",0,0,0,0,0,0,0,1,0,2,0,0
"ENSG00000007314",3,0,0,2,0,0,0,0,0,1,0,1
"ENSG00000007341",269,394,282,285,216,224,214,312,138,148,162,82
"ENSG00000007350",0,0,2,0,0,0,0,1,0,0,0,0
"ENSG00000007372",324,488,314,303,152,171,281,453,212,180,125,87
"ENSG00000007376",521,688,782,767,501,657,674,1409,812,904,913,1146
"ENSG00000007384",1060,1316,1132,946,1199,1366,869,1273,1019,787,973,699
"ENSG00000007392",723,1349,1292,1277,1334,1140,830,1504,813,560,685,1012
"ENSG00000007402",21,20,42,45,24,38,21,29,28,26,24,28
"ENSG00000007516",3851,3208,6131,3670,3441,2739,3471,4738,4021,2636,2890,1605
"ENSG00000007520",1115,1102,1510,1216,691,1025,1653,3372,1625,2015,2098,2855
"ENSG00000007541",1255,1318,1807,1297,1259,1222,1400,2255,1538,1205,1589,1523
"ENSG00000007545",488,654,794,662,533,562,434,650,540,426,547,350
"ENSG00000007866",1323,1449,1927,1787,1253,1384,1470,1696,1694,1376,1690,820
"ENSG00000007908",0,2,5,0,0,1,1,5,0,2,4,1
"ENSG00000007923",671,872,897,838,645,762,385,818,592,593,562,339
"ENSG00000007933",7448,9992,1689,844,190,185,12658,23513,974,563,1278,261
"ENSG00000007944",1005,1050,1264,1093,936,872,707,1138,786,652,892,249
"ENSG00000007952",51,28,51,33,35,45,20,34,28,19,34,27
"ENSG00000007968",104,155,134,137,76,129,171,241,113,150,125,138
"ENSG00000008018",1899,2549,3125,3090,1798,2185,2086,5366,2120,3177,2687,3893
"ENSG00000008056",13,10,7,13,11,11,16,13,24,7,1,7
"ENSG00000008083",671,923,783,754,647,712,455,631,653,555,529,247
"ENSG00000008086",252,390,372,309,317,260,120,166,188,164,178,69
"ENSG00000008118",0,4,1,0,0,0,0,0,0,0,0,0
"ENSG00000008128",20,15,23,27,32,31,19,22,12,11,8,6
"ENSG00000008130",1895,2006,3151,2621,2117,2011,1885,2869,2344,2252,2218,1353
"ENSG00000008196",2,3,22,21,20,21,9,13,20,13,3,10
"ENSG00000008197",0,0,0,0,0,0,0,1,0,0,0,0
"ENSG00000008226",2676,3907,6717,3684,4419,2704,3858,3394,4135,1432,2067,1767
"ENSG00000008256",462,552,690,747,470,556,327,616,515,514,461,300
"ENSG00000008277",27,37,62,57,42,30,17,33,23,10,20,13
"ENSG00000008282",5036,5791,6233,6857,4809,4662,2953,5585,3500,3721,3825,2204
"ENSG00000008283",4108,3818,6717,4728,3427,3309,3238,5333,4081,3967,4464,2391
"ENSG00000008294",1947,2706,2143,2234,1705,1830,832,1521,952,1024,829,480
"ENSG00000008300",57,70,93,108,65,82,53,48,72,39,40,44
"ENSG00000008311",166,268,657,588,374,294,52,110,262,226,180,95
"ENSG00000008323",543,710,841,646,481,460,736,1134,649,602,666,395
"ENSG00000008324",241,310,322,295,188,211,240,392,200,226,251,248
"ENSG00000008382",197,109,343,195,154,160,234,365,293,274,394,318
"ENSG00000008394",3773,4280,3598,3229,3805,3575,3183,5181,2311,2256,2672,1989
"ENSG00000008405",437,573,797,641,480,447,267,497,407,390,307,137
"ENSG00000008438",3,4,3,0,10,4,0,3,2,1,4,0
"ENSG00000008441",2180,2156,4480,3947,2049,2350,2537,3465,3416,3030,2809,1650
"ENSG00000008513",777,775,775,604,749,651,354,350,572,384,539,171
"ENSG00000008516",20,25,24,10,21,25,16,28,16,21,15,7
"ENSG00000008517",87,98,62,44,109,104,80,80,66,37,88,89
"ENSG00000008710",3326,3969,6113,4561,3816,3668,2742,3887,4663,2976,3051,1605
"ENSG00000008735",58,88,95,74,53,66,105,187,94,101,127,89
"ENSG00000008838",1679,2419,3399,3570,2269,2722,1568,3035,2173,2796,2150,1649
"ENSG00000008853",210,197,383,304,302,348,248,396,271,333,266,271
"ENSG00000008869",1363,1857,2392,2507,1398,1323,627,923,975,954,705,274
"ENSG00000008952",2544,2789,4059,3591,2772,2422,1408,2542,1861,1830,1733,1051
"ENSG00000008988",7274,10041,13523,13957,8055,9692,10276,24960,10085,15203,11915,22878
"ENSG00000009307",12175,15656,17204,17333,12038,12599,8368,14977,10004,10149,9775,5718
"ENSG00000009335",2633,3164,3949,3391,2707,2772,1465,2578,2238,2119,2073,823
"ENSG00000009413",1145,1673,1628,1609,1201,1136,433,685,644,514,522,189
"ENSG00000009694",0,0,0,0,0,0,0,0,2,0,2,0
"ENSG00000009709",1045,1090,1361,1135,884,955,270,385,1376,898,1003,443
"ENSG00000009724",26,85,61,99,78,58,45,40,36,9,13,8
"ENSG00000009765",138,223,66,94,77,118,52,127,22,43,33,14
"ENSG00000009780",244,424,390,428,325,315,257,472,237,291,225,184
"ENSG00000009790",3,6,13,3,19,6,7,9,3,3,2,4
"ENSG00000009830",552,640,868,890,572,659,486,832,607,654,550,596
"ENSG00000009844",1504,1533,2010,2027,1441,1276,819,1587,950,1080,1051,678
"ENSG00000009950",9,15,45,39,10,0,0,18,14,8,25,36
"ENSG00000009954",1964,2335,2987,2550,2042,1931,1526,2212,1865,1511,1571,827
"ENSG00000010017",1600,1985,1930,2107,1603,1544,933,1804,1013,1106,989,498
"ENSG00000010030",241,242,245,174,196,221,164,295,152,169,193,216
"ENSG00000010072",407,435,548,645,431,385,197,449,253,251,234,160
"ENSG00000010165",986,1012,1291,1076,980,946,755,1249,865,896,910,597
"ENSG00000010219",166,177,266,227,219,201,189,398,185,226,210,292
"ENSG00000010244",2502,4193,3664,4249,3084,3341,1944,3744,2185,2350,2272,1819
"ENSG00000010256",4387,5950,6948,6848,3778,4961,5203,11065,5696,7447,6476,9420
"ENSG00000010270",369,542,649,788,439,392,345,671,452,504,509,263
"ENSG00000010278",15258,17712,24049,24597,15188,15291,13873,25063,17401,19739,20065,11928
"ENSG00000010282",5,24,44,39,26,37,27,32,37,19,21,34
"ENSG00000010292",1334,1814,1771,1989,1218,1470,1095,1861,1320,1377,1257,898
"ENSG00000010295",33,63,28,59,14,19,20,19,19,21,3,15
"ENSG00000010310",373,742,860,768,669,582,854,1166,625,348,282,481
"ENSG00000010318",190,374,406,488,249,393,164,460,192,301,181,232
"ENSG00000010319",17,16,35,13,19,13,3,14,19,5,14,6
"ENSG00000010322",2842,3428,4693,3785,3941,3423,2940,3301,3580,2398,3110,2312
"ENSG00000010327",2,2,2,0,0,1,0,4,1,1,0,0
"ENSG00000010361",1096,729,1836,1118,1153,734,1005,996,1174,779,1322,753
"ENSG00000010379",7,14,85,151,8,19,7,32,39,45,31,48
"ENSG00000010404",2695,3226,3712,3762,2849,2516,1912,2621,2152,2171,2239,873
"ENSG00000010438",40,77,3,11,42,32,79,162,17,38,63,103
"ENSG00000010539",209,209,304,302,178,198,95,323,129,178,159,123
"ENSG00000010610",236,153,395,307,196,130,185,248,269,193,217,104
"ENSG00000010626",3548,4691,7602,6839,3530,4698,2896,7881,4021,7820,5388,8407
"ENSG00000010671",3,5,1,0,1,1,1,7,0,3,2,4
"ENSG00000010704",401,469,825,647,431,441,234,295,344,309,358,90
"ENSG00000010803",567,741,896,848,561,603,613,875,644,572,613,371
"ENSG00000010810",335,245,139,115,188,162,126,181,106,95,144,73
"ENSG00000010818",869,966,943,896,798,883,440,541,687,470,489,214
"ENSG00000010932",25,24,25,21,33,21,4,14,12,25,20,16
"ENSG00000011007",1103,1290,1633,1506,1118,1104,757,1320,1082,1017,887,587
"ENSG00000011009",1943,1755,2586,1866,1752,1846,2327,3262,2182,2076,2712,2206
"ENSG00000011021",360,540,586,549,530,459,352,418,381,290,269,189
"ENSG00000011028",1117,987,647,700,772,974,962,1508,634,633,716,831
"ENSG00000011052",6,8,11,7,2,3,0,1,4,1,1,0
"ENSG00000011083",0,0,0,0,0,0,0,2,0,0,0,0
"ENSG00000011105",1355,1347,1680,1530,1158,1568,1252,2191,1454,1615,1446,1006
"ENSG00000011114",1459,1747,1957,1742,1405,1361,718,1075,1005,910,918,360
"ENSG00000011132",308,302,575,356,324,304,394,472,460,356,549,348
"ENSG00000011143",1022,1266,1856,1498,1139,1004,895,1480,1034,1062,1059,736
"ENSG00000011198",1052,1174,999,1168,1089,977,537,956,605,668,684,369
"ENSG00000011201",582,562,1106,943,564,506,377,455,702,455,488,234
"ENSG00000011243",1123,1639,1706,1476,1371,1393,1135,1660,1013,874,778,966
"ENSG00000011258",538,639,833,924,607,611,312,514,421,390,376,155
"ENSG00000011260",610,744,939,1059,589,706,617,1455,611,775,727,742
"ENSG00000011275",848,1038,1404,1184,901,964,721,1119,989,901,953,656
"ENSG00000011295",936,1206,1571,1669,1112,1334,842,1680,1049,1164,1041,886
"ENSG00000011304",7113,8610,9308,8922,6082,7768,5541,9815,6656,6858,6135,3741
"ENSG00000011332",19,7,37,30,22,35,12,38,41,48,42,53
"ENSG00000011347",673,690,336,193,585,779,134,238,290,193,354,125
"ENSG00000011376",869,817,1189,854,650,579,455,689,692,590,634,308
"ENSG00000011405",1529,2071,2074,2195,1643,1570,461,823,920,864,703,245
"ENSG00000011422",48,42,51,69,42,46,59,103,39,43,39,43
"ENSG00000011426",865,1086,1053,1463,1333,1163,387,943,392,591,400,366
"ENSG00000011451",1461,1511,1974,1649,1296,1561,1261,1779,1837,1651,1608,726
"ENSG00000011454",1910,2120,3006,2603,2116,1807,1364,1810,1844,1430,1497,735
"ENSG00000011465",1,0,2,2,2,0,0,0,0,0,0,4
"ENSG00000011478",183,262,236,286,191,205,138,448,200,272,245,231
"ENSG00000011485",1495,1697,2390,2011,1315,1475,1417,2225,1481,1702,1605,1093
"ENSG00000011523",1006,1310,1266,1575,979,1112,651,1095,755,839,590,319
"ENSG00000011566",917,1269,1148,1307,908,870,456,1000,613,739,568,245
"ENSG00000011590",22,13,12,21,10,12,18,31,2,11,5,10
"ENSG00000011600",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000011638",742,1026,1444,1245,928,1070,765,1470,1120,1335,1274,972
"ENSG00000011677",0,0,118,75,18,12,21,43,73,59,73,40
"ENSG00000012048",312,424,455,427,363,370,128,287,183,228,151,134
"ENSG00000012061",1475,1545,1972,1601,1331,1460,1471,2711,1443,1625,1611,1672
"ENSG00000012124",0,0,0,0,0,0,0,0,0,0,2,0
"ENSG00000012171",41,140,134,120,117,141,106,308,137,106,61,228
"ENSG00000012174",406,590,575,645,446,456,193,406,241,299,222,121
"ENSG00000012211",573,573,675,520,461,544,515,578,649,509,572,309
"ENSG00000012223",425,427,159,214,132,168,70,110,646,497,125,55
"ENSG00000012232",1378,1531,1568,1380,1294,1457,900,1441,1160,1059,1167,637
"ENSG00000012504",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000012660",2031,2231,4201,4006,2262,2440,1087,2211,1816,2037,1653,754
"ENSG00000012779",31,31,16,27,78,47,33,54,12,19,15,6
"ENSG00000012817",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000012822",2492,2611,3976,2955,2750,2494,1760,2156,2337,1678,2096,988
"ENSG00000012963",671,1005,1038,1288,762,806,510,1035,676,812,683,469
"ENSG00000012983",1038,1341,1400,1404,1255,1073,594,921,784,623,592,315
"ENSG00000013016",268,197,223,223,372,409,225,252,242,157,240,129
"ENSG00000013275",1817,2078,2495,2233,1619,1708,1631,2704,1626,1739,1852,1530
"ENSG00000013288",1280,1675,2663,2425,1551,1830,877,1619,1762,1906,1734,864
"ENSG00000013293",0,0,0,0,0,0,0,0,0,0,0,2
"ENSG00000013297",5,2,4,1,8,12,4,3,2,1,0,1
"ENSG00000013306",2223,2249,2897,2303,1927,2216,2637,4389,2942,2703,3060,2942
"ENSG00000013364",7236,7325,10361,9057,5084,6212,7344,13050,7619,8936,9138,8820
"ENSG00000013374",1223,1585,1950,1758,1255,1273,912,1576,1037,1074,1051,786
"ENSG00000013375",534,708,1000,1051,700,732,302,519,488,499,484,264
"ENSG00000013392",100,196,385,363,213,246,117,202,189,194,199,152
"ENSG00000013441",1220,2387,2537,2610,2190,1934,1275,2159,1316,954,880,1210
"ENSG00000013503",478,585,576,611,429,483,222,375,291,279,266,137
"ENSG00000013523",470,602,614,479,520,548,240,375,397,316,322,107
"ENSG00000013561",989,1082,1386,1344,994,861,668,1166,798,817,787,543
"ENSG00000013563",407,471,653,556,385,415,412,682,520,378,538,234
"ENSG00000013573",555,861,931,795,512,462,692,849,637,477,543,488
"ENSG00000013583",433,493,480,327,363,346,560,990,354,386,451,446
"ENSG00000013588",1084,885,1177,1073,1705,927,885,844,982,729,1020,579
"ENSG00000013619",113,179,79,88,115,151,71,122,69,126,85,75
"ENSG00000013725",172,199,216,255,107,183,183,323,164,194,175,178
"ENSG00000013810",376,658,582,673,462,495,582,1055,451,608,443,815
"ENSG00000014123",1433,2080,2111,2412,1530,1648,545,1326,729,1031,747,395
"ENSG00000014138",93,116,254,232,124,108,171,217,232,196,223,308
"ENSG00000014164",601,722,851,700,512,646,599,1023,768,849,780,561
"ENSG00000014216",12416,14220,18445,16348,11906,14184,12992,20038,17355,15742,18817,11944
"ENSG00000014257",310,325,217,98,214,224,157,155,129,107,156,43
"ENSG00000014641",3214,4024,5010,4805,3261,3360,3213,5741,3342,3698,3784,3282
"ENSG00000014824",1873,2229,2924,2911,1978,2079,1048,2112,1353,1614,1306,711
"ENSG00000014914",287,292,427,294,297,223,293,304,313,152,254,158
"ENSG00000014919",452,762,774,807,609,600,390,799,520,460,537,435
"ENSG00000015133",4424,5164,7327,6482,4229,4421,3389,4623,4531,3844,3981,1774
"ENSG00000015153",204,226,254,248,214,187,132,250,134,138,130,106
"ENSG00000015171",1530,1996,2278,2317,1657,1642,937,1607,1201,1102,994,538
"ENSG00000015285",13,8,17,27,6,11,4,16,17,26,20,9
"ENSG00000015413",0,0,0,0,0,0,2,0,0,2,0,0
"ENSG00000015475",1294,1630,1433,1484,1304,1447,1247,2256,1188,1246,1395,1145
"ENSG00000015479",18,41,73,69,57,49,11,26,34,20,18,18
