date,Cyto,Category,location,line,time,sample_type,bacteria,viability,concentration_final,below_LD,above_LD,group_label,detected_all,detected_48,range,group_rejected,group_stats
2023-01-17T00:00:00Z,CXCL11,Antimicrobial,Apical,HNO204,48,control,NB,control,5.67,FALSE,FALSE,CXCL11_Apical,0.7708333333333334,0.8095238095238095,5.044302148871641,FALSE,TRUE
2023-01-17T00:00:00Z,CCL20,Chemokines,Apical,HNO204,48,control,NB,control,18.88,FALSE,FALSE,CCL20_Apical,0.9375,0.9761904761904762,5.3013766212080125,FALSE,TRUE
2023-01-17T00:00:00Z,IL-36β,Inflammasome,Apical,HNO204,48,control,NB,control,3.7649999999999997,FALSE,FALSE,IL-36β_Apical,0.9166666666666666,1,5.132631126576655,FALSE,TRUE
2023-01-17T00:00:00Z,Eotaxin,Allergy,Apical,HNO204,48,control,NB,control,4.355,FALSE,FALSE,Eotaxin_Apical,0.9583333333333334,1,1.9338045199842386,FALSE,FALSE
2023-01-17T00:00:00Z,G-CSF,GF,Apical,HNO204,48,control,NB,control,273.88,FALSE,FALSE,G-CSF_Apical,1,1,7.435195655610126,FALSE,TRUE
2023-01-17T00:00:00Z,IFN-γ,Antimicrobial,Apical,HNO204,48,control,NB,control,2.64,FALSE,FALSE,IFN-γ_Apical,0.9791666666666666,1,2.684378368534408,FALSE,FALSE
2023-01-17T00:00:00Z,IL-18,Inflammasome,Apical,HNO204,48,control,NB,control,3.245,FALSE,FALSE,IL-18_Apical,0.875,0.9285714285714286,10.365675419723656,FALSE,TRUE
2023-01-17T00:00:00Z,IL-1α,Inflammasome,Apical,HNO204,48,control,NB,control,10.475,FALSE,FALSE,IL-1α_Apical,0.9166666666666666,1,7.828704176866794,FALSE,TRUE
2023-01-17T00:00:00Z,IL-1RN,Inflammasome,Apical,HNO204,48,control,NB,control,781.8299999999999,FALSE,FALSE,IL-1RN_Apical,1,1,6.456129318758921,FALSE,TRUE
2023-01-17T00:00:00Z,IL-5,Allergy,Apical,HNO204,48,control,NB,control,0.29,FALSE,FALSE,IL-5_Apical,0.8958333333333334,0.9285714285714286,1.7548875021634687,FALSE,FALSE
2023-01-17T00:00:00Z,IL-6,Acute,Apical,HNO204,48,control,NB,control,24.38,FALSE,FALSE,IL-6_Apical,1,1,8.736907548754205,FALSE,TRUE
2023-01-17T00:00:00Z,IL-8,Acute,Apical,HNO204,48,control,NB,control,2181,FALSE,FALSE,IL-8_Apical,1,1,2.4464561617045524,FALSE,FALSE
2023-01-17T00:00:00Z,CXCL10,Antimicrobial,Apical,HNO204,48,control,NB,control,56.805,FALSE,FALSE,CXCL10_Apical,0.875,0.8571428571428572,9.340045309461232,FALSE,TRUE
2023-01-17T00:00:00Z,CCL2,Chemokines,Apical,HNO204,48,control,NB,control,52.735,FALSE,FALSE,CCL2_Apical,1,1,5.528775296547305,FALSE,TRUE
2023-01-17T00:00:00Z,CXCL9,Antimicrobial,Apical,HNO204,48,control,NB,control,5.98,FALSE,FALSE,CXCL9_Apical,0.6458333333333333,0.6904761904761905,3.2167539373265863,FALSE,TRUE
2023-01-17T00:00:00Z,CCL4,Chemokines,Apical,HNO204,48,control,NB,control,0.45,FALSE,FALSE,CCL4_Apical,0.625,0.6904761904761905,3.4447848426728958,FALSE,TRUE
2023-01-17T00:00:00Z,CCL5,Chemokines,Apical,HNO204,48,control,NB,control,12.775,FALSE,FALSE,CCL5_Apical,0.9583333333333334,1,4.114398927360849,FALSE,TRUE
2023-01-17T00:00:00Z,L-VEGF,GF,Apical,HNO204,48,control,NB,control,54.67,FALSE,FALSE,L-VEGF_Apical,1,1,5.914567964836325,FALSE,TRUE
2023-01-17T00:00:00Z,MMP-1,MMPs,Apical,HNO204,48,control,NB,control,1074,FALSE,FALSE,MMP-1_Apical,1,1,2.4910468922869353,FALSE,FALSE
2023-01-17T00:00:00Z,MMP-10,MMPs,Apical,HNO204,48,control,NB,control,51184.5,FALSE,FALSE,MMP-10_Apical,1,1,0.9315484043021947,FALSE,FALSE
2023-01-17T00:00:00Z,MMP-2,MMPs,Apical,HNO204,48,control,NB,control,842.105,FALSE,FALSE,MMP-2_Apical,1,1,1.989952600933995,FALSE,FALSE
